year,problem,code,title,award_evidence,source_url
2020,A,A20102460127,中中国国研研究究生生创创新新实实践践系系列列大大赛赛,9 | A | 20102460127 | 一等奖（华为专项奖） | 徐瑾 | 复旦大学 | 宋凤丽 | 复旦大学 | 肖晗微 | 复旦大学,https://github.com/zhanwen/MathModel/blob/master/国赛论文/2020年优秀论文/A/A20102460127.pdf
2020,A,A20102480161,中国研究生创新实践系列大赛,8 | A | 20102480161 | 一等奖（华为专项奖） | 丁庚发 | 上海交通大学 | 许吉勇 | 上海交通大学 | 王泽龙 | 上海交通大学,https://github.com/zhanwen/MathModel/blob/master/国赛论文/2020年优秀论文/A/A20102480161.pdf
2020,A,A20104870015,中国研究生创新实践系列大赛,2 | A | 20104870015 | 一等奖（华为专项奖） | 李智 | 华中科技大学 | 皮鉴源 | 华中科技大学 | 季秋涵 | 华中科技大学,https://github.com/zhanwen/MathModel/blob/master/国赛论文/2020年优秀论文/A/A20104870015.pdf
2020,A,A20106110086,中中国国研研究究生生创创新新实实践践系系列列大大赛赛,7 | A | 20106110086 | 一等奖（华为专项奖、数模之星提名） | 温夫山 | 重庆大学 | 张宏龙 | 重庆大学 | 彭浩琦 | 重庆大学,https://github.com/zhanwen/MathModel/blob/master/国赛论文/2020年优秀论文/A/A20106110086.pdf
2020,A,A20910040037,中中国国研研究究生生创创新新实实践践系系列列大大赛赛,1 | A | 20910040037 | 一等奖（华为专项奖） | 崔智超 | 陆军工程大学 | 廖程建 | 陆军工程大学 | 杨曜旗 | 陆军工程大学,https://github.com/zhanwen/MathModel/blob/master/国赛论文/2020年优秀论文/A/A20910040037.pdf
2020,B,B20100040057,中国研究生创新实践系列大赛,15 | B | 20100040057 | 一等奖 | 赵飞飞 | 北京交通大学 | 卢亚菡 | 北京交通大学 | 童磊 | 北京交通大学,https://github.com/zhanwen/MathModel/blob/master/国赛论文/2020年优秀论文/B/B20100040057.pdf
2020,B,B20100050019,中国研究生创新实践系列大赛,9 | B | 20100050019 | 一等奖 | 涂闯 | 北京工业大学 | 孔丽 | 北京工业大学 | 陈健 | 北京工业大学,https://github.com/zhanwen/MathModel/blob/master/国赛论文/2020年优秀论文/B/B20100050019.pdf
2020,B,B20102470089,中中国国研研究究生生创创新新实实践践系系列列大大赛赛,11 | B | 20102470089 | 一等奖（数模之星提名） | 杨柏萃 | 同济大学 | 刘宇航 | 同济大学 | 李嘉伟 | 同济大学,https://github.com/zhanwen/MathModel/blob/master/国赛论文/2020年优秀论文/B/B20102470089.pdf
2020,B,B20102940042,中中国国研研究究生生创创新新实实践践系系列列大大赛赛,18 | B | 20102940042 | 一等奖 | 李禹 | 河海大学 | 徐文强 | 河海大学 | 崔威 | 河海大学,https://github.com/zhanwen/MathModel/blob/master/国赛论文/2020年优秀论文/B/B20102940042.pdf
2020,B,B20102980116,中国研究生创新实践系列大赛,12 | B | 20102980116 | 一等奖 | 曹磊 | 南京林业大学 | 王羽尘 | 南京林业大学 | 王玉鹏 | 南京林业大学,https://github.com/zhanwen/MathModel/blob/master/国赛论文/2020年优秀论文/B/B20102980116.pdf
