year,code,problem,school,names,title,award_evidence,fulltext_status,source_reference
2024,A24102940057,A,河海大学,罗子杰、庞榕泽、赵勇凯,考虑机组实时疲劳损伤的风电场有功功率优化分配,一等奖,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/A/A24102940057.pdf
2024,A24103350007,A,浙江大学,许诺、孟旭瑶、刘相万,风电场有功功率优化分配,一等奖（提名参加“数模之星”答辩）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/A/A24103350007.pdf
2024,A24103530117,A,浙江工商大学,陈蕊、邵雨欣、姚力琪,风电场有功功率优化分配,一等奖,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/A/A24103530117.pdf
2024,A24107120016,A,西北农林科技大学,杨磊、林炅、刘冠麟,风电场有功功率分配优化模型,一等奖（提名参加“数模之星”答辩）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/A/A24107120016.pdf
2024,B24102860287,B,东南大学,栾兴、徐泽辰、徐明晖,WLAN 组网中网络吞吐量建模,一等奖（提名参加“数模之星”答辩、华为专项一等奖）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/B/B24102860287.pdf
2024,B24103530099,B,浙江工商大学,余乐、郑浩东、王灏,基于特征对齐与多重预测驱动的WLAN 信号预测方案,一等奖（华为专项一等奖）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/B/B24103530099.pdf
2024,B24104760033,B,河南师范大学,贾昊鑫、任永攀、李富坤,WLAN 组网中网络吞吐量建模,一等奖（华为专项一等奖）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/B/B24104760033.pdf
2024,B24116640167,B,西安邮电大学,李明浩、向洋、周夏怡,WLAN 组网中网络吞吐量建模,一等奖（提名参加“数模之星”答辩、华为专项一等奖）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/B/B24116640167.pdf
2024,C24102890089,C,江苏科技大学,薛任煊、孙慧、周心仪,数据驱动下磁性元件的磁芯损耗建模,一等奖（提名参加“数模之星”答辩）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/C/C24102890089.pdf
2024,C24103860012,C,福州大学,欧成光、詹鹏翔、余佳硕,数据驱动下磁性元件的磁芯损耗建模,一等奖（提名参加“数模之星”答辩）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/C/C24103860012.pdf
2024,C24104220149,C,山东大学,张良收、赵佳、王硕,基于多因素分析与深度学习的磁芯损耗建模,一等奖（提名参加“数模之星”答辩）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/C/C24104220149.pdf
2024,C24106130096,C,西南交通大学,易曾瑞、闵心怡、杨采琪,多变量复杂环境下的磁芯损耗建模,一等奖,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/C/C24106130096.pdf
2024,D24103850092,D,华侨大学,周文浩、李虎峰、欧雪雯,多源异构数据驱动的暴雨成灾机理及其时空演变特征研究,一等奖（提名参加“数模之星”答辩）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/D/D24103850092.pdf
2024,D24104250063,D,中国石油大学（华东）,吴世玉、武李曼、郑直,大数据驱动的地理综合问题,一等奖,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/D/D24104250063.pdf
2024,D24104460003,D,曲阜师范大学,姜喆、常芮源、刘鲁倩,大数据驱动的地理综合问题,一等奖（提名参加“数模之星”答辩）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/D/D24104460003.pdf
2024,D24106570027,D,贵州大学,王邱婧涵、唐昊、陈塽立,大数据驱动的地理综合问题建模与分析,一等奖,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/D/D24106570027.pdf
2024,E24101480006,E,辽宁石油化工大学,贾青青、徐康、曾潇,高速公路应急车道启用管控优化与决策模型研究,一等奖（提名参加“数模之星”答辩）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/E/E24101480006.pdf
2024,E24102870008,E,南京航空航天大学,曾实、仇静轩、马欣,高速公路应急车道紧急启用模型,一等奖,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/E/E24102870008.pdf
2024,E24102910005,E,南京工业大学,任碧芸、张朝凯、武瑞,基于目标检测的高速公路应急车道实时启用策略研究,一等奖（提名参加“数模之星”答辩）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/E/E24102910005.pdf
2024,E24106980067,E,西安交通大学,余浩然、陈扬、陈新永,高速公路应急车道紧急启用模型,一等奖,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/E/E24106980067.pdf
2024,F24102870082,F,南京航空航天大学,尚明昊、邓兴婷、李龙龙,X 射线脉冲星光子到达时间建模,一等奖（提名参加“数模之星”答辩）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/F/F24102870082.pdf
2024,F24103360083,F,杭州电子科技大学,袁文强、李子龙、李佳欣,X 射线脉冲星光子到达时间建模研究,一等奖,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/F/F24103360083.pdf
2024,F24104860143,F,武汉大学,赵龙、付丙臣、刘泽,X 射线脉冲星光子到达时间建模,一等奖,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/F/F24104860143.pdf
2024,F24910020063,F,国防科技大学,吴政城、徐子晨、嵇志敏,X 射线脉冲星时间转换建模与光子序列仿真,一等奖（提名参加“数模之星”答辩）,用户已下载完整 PDF；来源为公开优秀论文包,2024年研究生数学建模竞赛优秀论文选.zip!/F/F24910020063.pdf
2025,A25104250018,A,中国石油大学（华东）,赵浩羽、蒋铭皓、田欣媛,多层协同优化的神经网络处理器核内调度算法研究,一等奖（华为专项二等奖）,已下载完整 PDF；作者团队公开 GitHub 仓库提供全文；PDF 首页参赛队号 25104250018 与官方一等奖表精确匹配,https://github.com/HaoyuZhao31415/MathModel/blob/main/华为杯2025%20(7).pdf
2025,E25104860052,E,武汉大学,巫小珍、王艳茹、王睿,面向高速列车轴承的无监督迁移诊断与可解释性分析研究,一等奖,用户已下载完整 PDF；作者/团队公开 GitHub 同时提供全文与代码,https://github.com/wxzher/2025-HuaweiCup-E/blob/main/paper/E25104860052.pdf
