case,objective,epsilon_pct,window,baseline_traffic,extra_traffic,traffic_delta,traffic_ratio,baseline_safe_cycles,safe_cycles,safe_improvement_pct,baseline_official_literal_cycles,official_literal_cycles,official_improvement_pct,spill_count,changed_positions,accepted_zero_traffic_steps
Matmul_Case0,official_literal,0.0,0,28800,28800,0,1.0,195024,160005,17.956252,135082,133682,1.036408,225,0,2
Matmul_Case0,official_literal,1.0,0,28800,28800,0,1.0,195024,160005,17.956252,135082,133682,1.036408,225,0,2
Matmul_Case0,official_literal,3.0,0,28800,28800,0,1.0,195024,160005,17.956252,135082,133682,1.036408,225,0,2
Matmul_Case0,official_literal,5.0,0,28800,28800,0,1.0,195024,160005,17.956252,135082,133682,1.036408,225,0,2
Matmul_Case1,official_literal,0.0,0,430208,430208,0,1.0,1771302,1669574,5.74312,1534618,1531946,0.174115,3361,0,2
Matmul_Case1,official_literal,1.0,0,430208,430208,0,1.0,1771302,1669574,5.74312,1534618,1531946,0.174115,3361,0,2
Matmul_Case1,official_literal,3.0,0,430208,430208,0,1.0,1771302,1669574,5.74312,1534618,1531946,0.174115,3361,0,2
Matmul_Case1,official_literal,5.0,0,430208,430208,0,1.0,1771302,1669574,5.74312,1534618,1531946,0.174115,3361,0,2
FlashAttention_Case0,official_literal,0.0,0,54016,54016,0,1.0,205088,205088,0.0,194265,194265,0.0,316,0,0
FlashAttention_Case0,official_literal,1.0,0,54016,54016,0,1.0,205088,205088,0.0,194265,194265,0.0,316,0,0
FlashAttention_Case0,official_literal,3.0,0,54016,54016,0,1.0,205088,205088,0.0,194265,194265,0.0,316,0,0
FlashAttention_Case0,official_literal,5.0,0,54016,54016,0,1.0,205088,205088,0.0,194265,194265,0.0,316,0,0
FlashAttention_Case1,official_literal,0.0,0,242552,242552,0,1.0,1026762,1026762,0.0,962746,962746,0.0,1782,0,0
FlashAttention_Case1,official_literal,1.0,0,242552,242552,0,1.0,1026762,1026762,0.0,962746,962746,0.0,1782,0,0
FlashAttention_Case1,official_literal,3.0,0,242552,242552,0,1.0,1026762,1026762,0.0,962746,962746,0.0,1782,0,0
FlashAttention_Case1,official_literal,5.0,8,242552,250584,8032,1.03311455,1026762,970684,5.461636,962746,942667,2.085597,1662,6557,0
Conv_Case0,official_literal,0.0,0,177904,177904,0,1.0,774198,786202,-1.550508,636114,606429,4.666616,522,0,1
Conv_Case0,official_literal,1.0,0,177904,177904,0,1.0,774198,786202,-1.550508,636114,606429,4.666616,522,0,1
Conv_Case0,official_literal,3.0,0,177904,177904,0,1.0,774198,786202,-1.550508,636114,606429,4.666616,522,0,1
Conv_Case0,official_literal,5.0,0,177904,177904,0,1.0,774198,786202,-1.550508,636114,606429,4.666616,522,0,1
Conv_Case1,official_literal,0.0,0,721464,721464,0,1.0,4116658,4119420,-0.067093,3852543,3784892,1.756009,9646,0,1
Conv_Case1,official_literal,1.0,0,721464,721464,0,1.0,4116658,4119420,-0.067093,3852543,3784892,1.756009,9646,0,1
Conv_Case1,official_literal,3.0,0,721464,721464,0,1.0,4116658,4119420,-0.067093,3852543,3784892,1.756009,9646,0,1
Conv_Case1,official_literal,5.0,0,721464,721464,0,1.0,4116658,4119420,-0.067093,3852543,3784892,1.756009,9646,0,1
