case,objective,epsilon_pct,window,baseline_traffic,extra_traffic,traffic_delta,traffic_ratio,baseline_safe_cycles,safe_cycles,safe_improvement_pct,baseline_official_literal_cycles,official_literal_cycles,official_improvement_pct,spill_count,changed_positions,accepted_zero_traffic_steps
Matmul_Case0,residency_safe,0.0,0,28800,28800,0,1.0,195024,160005,17.956252,135082,133682,1.036408,225,0,2
Matmul_Case0,residency_safe,1.0,0,28800,28800,0,1.0,195024,160005,17.956252,135082,133682,1.036408,225,0,2
Matmul_Case0,residency_safe,3.0,0,28800,28800,0,1.0,195024,160005,17.956252,135082,133682,1.036408,225,0,2
Matmul_Case0,residency_safe,5.0,8,28800,29696,896,1.03111111,195024,158495,18.730515,135082,136214,-0.83801,232,2229,2
Matmul_Case1,residency_safe,0.0,0,430208,430208,0,1.0,1771302,1669574,5.74312,1534618,1531946,0.174115,3361,0,2
Matmul_Case1,residency_safe,1.0,8,430208,432128,1920,1.00446296,1771302,1650497,6.820124,1534618,1537478,-0.186366,3376,9797,2
Matmul_Case1,residency_safe,3.0,8,430208,432128,1920,1.00446296,1771302,1650497,6.820124,1534618,1537478,-0.186366,3376,9797,2
Matmul_Case1,residency_safe,5.0,8,430208,432128,1920,1.00446296,1771302,1650497,6.820124,1534618,1537478,-0.186366,3376,9797,2
FlashAttention_Case0,residency_safe,0.0,0,54016,54016,0,1.0,205088,202453,1.284814,194265,194650,-0.198183,316,0,2
FlashAttention_Case0,residency_safe,1.0,0,54016,54016,0,1.0,205088,202453,1.284814,194265,194650,-0.198183,316,0,2
FlashAttention_Case0,residency_safe,3.0,0,54016,54016,0,1.0,205088,202453,1.284814,194265,194650,-0.198183,316,0,2
FlashAttention_Case0,residency_safe,5.0,0,54016,54016,0,1.0,205088,202453,1.284814,194265,194650,-0.198183,316,0,2
FlashAttention_Case1,residency_safe,0.0,0,242552,242552,0,1.0,1026762,1026762,0.0,962746,962746,0.0,1782,0,0
FlashAttention_Case1,residency_safe,1.0,0,242552,242552,0,1.0,1026762,1026762,0.0,962746,962746,0.0,1782,0,0
FlashAttention_Case1,residency_safe,3.0,0,242552,242552,0,1.0,1026762,1026762,0.0,962746,962746,0.0,1782,0,0
FlashAttention_Case1,residency_safe,5.0,8,242552,250584,8032,1.03311455,1026762,970684,5.461636,962746,942667,2.085597,1662,6557,0
Conv_Case0,residency_safe,0.0,0,177904,177904,0,1.0,774198,774198,0.0,636114,636114,0.0,522,0,0
Conv_Case0,residency_safe,1.0,0,177904,177904,0,1.0,774198,774198,0.0,636114,636114,0.0,522,0,0
Conv_Case0,residency_safe,3.0,0,177904,177904,0,1.0,774198,774198,0.0,636114,636114,0.0,522,0,0
Conv_Case0,residency_safe,5.0,0,177904,177904,0,1.0,774198,774198,0.0,636114,636114,0.0,522,0,0
Conv_Case1,residency_safe,0.0,0,721464,721464,0,1.0,4116658,4116658,0.0,3852543,3852543,0.0,9646,0,0
Conv_Case1,residency_safe,1.0,0,721464,721464,0,1.0,4116658,4116658,0.0,3852543,3852543,0.0,9646,0,0
Conv_Case1,residency_safe,3.0,32,721464,739552,18088,1.02507124,4116658,3974692,3.448574,3852543,3844461,0.209784,9886,29207,1
Conv_Case1,residency_safe,5.0,32,721464,739552,18088,1.02507124,4116658,3974692,3.448574,3852543,3844461,0.209784,9886,29207,1
